"Time","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl"
2020-06-03 22:06:00,17.019862046040057,125.33050005472799,37821.44466695808,17.019862046040057,125.33050005472799,37821.44466695808
2020-06-03 22:06:20,32.48292980800495,102.1280839764128,46604.53619267128,32.48292980800495,102.1280839764128,46604.53619267128
2020-06-03 22:06:40,32.48292980800495,102.1280839764128,46604.53619267128,32.48292980800495,102.1280839764128,46604.53619267128
2020-06-03 22:07:00,27.669038845412082,1086.2962695075034,59842.26638858656,27.669038845412082,1086.2962695075034,59842.26638858656
2020-06-03 22:07:20,37.19544864285649,1295.584876517853,44416.676946830994,37.19544864285649,1295.584876517853,44416.676946830994
2020-06-03 22:07:40,37.19544864285649,1295.5848765178528,44416.676946830994,37.19544864285649,1295.5848765178528,44416.676946830994
2020-06-03 22:08:00,32.91167981886592,49368.28997408541,0,32.91167981886592,49368.28997408541,0
2020-06-03 22:08:20,83.80631248132975,49368.28997408541,0,83.80631248132975,49368.28997408541,0
2020-06-03 22:08:40,83.80631248132975,49368.28997408541,0,83.80631248132975,49368.28997408541,0
2020-06-03 22:09:00,83.80631248132975,63414.98072174328,0,83.80631248132975,63414.98072174328,0
2020-06-03 22:09:20,730.8257644629854,46037.30800529938,17.11365791903602,730.8257644629854,46037.30800529938,17.11365791903602
2020-06-03 22:09:40,730.8257644629854,46037.30800529938,17.11365791903602,730.8257644629854,46037.30800529938,17.11365791903602
2020-06-03 22:10:00,730.8257644629854,50485.05985971658,14.331199048318814,730.8257644629854,50485.05985971658,14.331199048318814
2020-06-03 22:10:20,3604.6952663088605,50485.05985971658,17.619856752629428,3604.6952663088605,50485.05985971658,17.619856752629428
2020-06-03 22:10:40,3604.6952663088605,50485.05985971658,17.619856752629428,3604.6952663088605,50485.05985971658,17.619856752629428
2020-06-03 22:11:00,3604.6952663088605,39569.46345122606,17.64786984695988,3604.6952663088605,39569.46345122606,17.64786984695988
2020-06-03 22:11:20,3375.105901468113,46374.393398551874,17.64786984695988,3375.105901468113,46374.393398551874,17.64786984695988
2020-06-03 22:11:40,3375.105901468113,46374.393398551874,17.64786984695988,3375.105901468113,46374.393398551874,17.64786984695988
2020-06-03 22:12:00,4049.3638008930766,0,2253.245810904305,4049.3638008930766,0,2253.245810904305
2020-06-03 22:12:20,4847.637779744025,0,2852.1118036302437,4847.637779744025,0,2852.1118036302437
2020-06-03 22:12:40,56636.18336348545,0,2852.1118036302437,56636.18336348545,0,2852.1118036302437
2020-06-03 22:13:00,56636.18336348545,0,2852.1118036302437,56636.18336348545,0,2852.1118036302437
2020-06-03 22:13:20,71499.24955078744,0,2792.928536978829,71499.24955078744,0,2792.928536978829
2020-06-03 22:13:40,54077.632415190725,0,2792.928536978829,54077.632415190725,0,2792.928536978829
2020-06-03 22:14:00,54077.632415190725,0,2259.3376138087374,54077.632415190725,0,2259.3376138087374
2020-06-03 22:14:20,54925.92560857532,0,2677.871237791509,54925.92560857532,0,2677.871237791509
2020-06-03 22:14:40,54925.92560857532,0,2677.871237791509,54925.92560857532,0,2677.871237791509
2020-06-03 22:15:00,54925.92560857532,0,3602.945672403898,54925.92560857532,0,3602.945672403898
2020-06-03 22:15:20,55003.217696472544,0,2699.5993264504823,55003.217696472544,0,2699.5993264504823
2020-06-03 22:15:40,55003.217696472544,0,2699.5993264504823,55003.217696472544,0,2699.5993264504823
2020-06-03 22:16:00,55003.217696472544,0,34.4193003537726,55003.217696472544,0,34.4193003537726
2020-06-03 22:16:20,0,0,34.4193003537726,0,0,34.4193003537726
2020-06-03 22:16:40,0,0,34.4193003537726,0,0,34.4193003537726
2020-06-03 22:17:00,0,0,0,0,0,0
2020-06-03 22:17:20,0,0,0,0,0,0
2020-06-03 22:17:40,0,0,0,0,0,0
2020-06-03 22:18:00,0,0,0,0,0,0
2020-06-03 22:18:20,0,0,0,0,0,0
2020-06-03 22:18:40,0,0,0,0,0,0
2020-06-03 22:19:00,0,0,0,0,0,0
2020-06-03 22:19:20,0,0,0,0,0,0
2020-06-03 22:19:40,0,0,0,0,0,0
2020-06-03 22:20:00,0,36821.60479897069,0,0,36821.60479897069,0
2020-06-03 22:20:20,0,44269.515321101295,0,0,44269.515321101295,0
2020-06-03 22:20:40,0,44269.51532110129,0,0,44269.51532110129,0
2020-06-03 22:21:00,0,45941.49610729913,0,0,45941.49610729913,0
2020-06-03 22:21:20,0,45941.49610729913,0,0,45941.49610729913,0
2020-06-03 22:21:40,0,45941.49610729913,0,0,45941.49610729913,0
2020-06-03 22:22:00,0,45260.60365631922,0,0,45260.60365631922,0
2020-06-03 22:22:20,0,45260.60365631922,0,0,45260.60365631922,0
2020-06-03 22:22:40,0,45260.60365631922,0,0,45260.60365631922,0
2020-06-03 22:23:00,0,51816.62455288289,1970.6432932696512,0,51816.62455288289,1970.6432932696512
2020-06-03 22:23:20,52394.1914939731,51816.62455288289,1970.6432932696512,52394.1914939731,51816.62455288289,1970.6432932696512
2020-06-03 22:23:40,52394.1914939731,51816.62455288289,1970.6432932696514,52394.1914939731,51816.62455288289,1970.6432932696514
2020-06-03 22:24:00,52394.191493973085,9381.533197196313,2864.199542421095,52394.191493973085,9381.533197196313,2864.199542421095
2020-06-03 22:24:20,55309.65227695679,8067.567456433958,3537.459228763321,55309.65227695679,8067.567456433958,3537.459228763321
2020-06-03 22:24:40,55309.65227695679,8067.567456433958,3537.459228763321,55309.65227695679,8067.567456433958,3537.459228763321
2020-06-03 22:25:00,55309.65227695679,10668.355729800862,4455.559310577898,55309.65227695679,10668.355729800862,4455.559310577898
2020-06-03 22:25:20,58457.40850308511,14479.44755014798,7328.13809804713,58457.40850308511,14479.44755014798,7328.13809804713
2020-06-03 22:25:40,58457.40850308511,14479.44755014798,7328.13809804713,58457.40850308511,14479.44755014798,7328.13809804713
2020-06-03 22:26:00,58457.40850308511,76237.72681418878,9819.082855300228,58457.40850308511,76237.72681418878,9819.082855300228
2020-06-03 22:26:20,58457.40850308511,76237.72681418878,9819.082855300228,58457.40850308511,76237.72681418878,9819.082855300228
2020-06-03 22:26:40,60418.14675052411,76237.72681418878,9819.082855300228,60418.14675052411,76237.72681418878,9819.082855300228
2020-06-03 22:27:00,60418.14675052411,70869.60432039814,15607.725356354149,60418.14675052411,70869.60432039814,15607.725356354149
2020-06-03 22:27:20,53831.20598517218,70869.60432039814,15607.725356354149,53831.20598517218,70869.60432039814,15607.725356354149
2020-06-03 22:27:40,14008.604262188679,70869.60432039812,15607.725356354149,14008.604262188679,70869.60432039812,15607.725356354149
2020-06-03 22:28:00,14008.604262188679,76331.38244022403,22895.193072034523,14008.604262188679,76331.38244022403,22895.193072034523
2020-06-03 22:28:20,13381.299794687704,76331.38244022403,22895.193072034523,13381.299794687704,76331.38244022403,22895.193072034523
2020-06-03 22:28:40,13381.299794687704,76331.38244022403,22895.193072034523,13381.299794687704,76331.38244022403,22895.193072034523
2020-06-03 22:29:00,13381.299794687704,68367.76674229969,31099.738653639208,13381.299794687704,68367.76674229969,31099.738653639208
2020-06-03 22:29:20,24633.65323096609,79222.82221264135,31099.738653639208,24633.65323096609,79222.82221264135,31099.738653639208
2020-06-03 22:29:40,24633.65323096609,79222.82221264135,31099.738653639208,24633.65323096609,79222.82221264135,31099.738653639208
2020-06-03 22:30:00,24633.65323096609,79222.82221264135,33102.19323188237,24633.65323096609,79222.82221264135,33102.19323188237
2020-06-03 22:30:20,36262.68145870133,28865.490527023085,38206.11034357239,36262.68145870133,28865.490527023085,38206.11034357239
2020-06-03 22:30:40,36262.68145870133,28865.490527023085,38206.11034357239,36262.68145870133,28865.490527023085,38206.11034357239
2020-06-03 22:31:00,36262.68145870133,90221.58329475402,35905.76098835699,36262.68145870133,90221.58329475402,35905.76098835699
2020-06-03 22:31:20,87430.42715161027,90221.58329475402,102074.2132766266,87430.42715161027,90221.58329475402,102074.2132766266
2020-06-03 22:31:40,102811.60590475857,90221.58329475402,102074.2132766266,102811.60590475857,90221.58329475402,102074.2132766266
2020-06-03 22:32:00,102811.60590475857,95292.4600498885,104057.45887386885,102811.60590475857,95292.4600498885,104057.45887386885
2020-06-03 22:32:20,104845.91567904869,95292.4600498885,104057.45887386885,104845.91567904869,95292.4600498885,104057.45887386885
2020-06-03 22:32:40,104845.91567904869,95292.4600498885,104057.45887386885,104845.91567904869,95292.4600498885,104057.45887386885
2020-06-03 22:33:00,104845.91567904869,94027.76113783012,110756.84644984802,104845.91567904869,94027.76113783012,110756.84644984802
2020-06-03 22:33:20,106959.56495988801,94027.76113783012,99841.56002437539,106959.56495988801,94027.76113783012,99841.56002437539
2020-06-03 22:33:40,106959.56495988801,94027.76113783012,99841.56002437539,106959.56495988801,94027.76113783012,99841.56002437539
2020-06-03 22:34:00,106959.56495988801,97464.97813921336,99091.76660827381,106959.56495988801,97464.97813921336,99091.76660827381
2020-06-03 22:34:20,186033.28608892698,91539.04156257097,99091.76660827381,186033.28608892698,91539.04156257097,99091.76660827381
2020-06-03 22:34:40,186033.28608892698,91539.04156257097,99091.76660827381,186033.28608892698,91539.04156257097,99091.76660827381
2020-06-03 22:35:00,186033.28608892698,128298.76854559597,105759.59444503945,186033.28608892698,128298.76854559597,105759.59444503945
2020-06-03 22:35:20,183285.06714900836,94601.0212865536,105759.59444503945,183285.06714900836,94601.0212865536,105759.59444503945
2020-06-03 22:35:40,183285.06714900836,94601.0212865536,105759.59444503945,183285.06714900836,94601.0212865536,105759.59444503945
2020-06-03 22:36:00,183285.06714900836,110919.73751721531,91918.39505189484,183285.06714900836,110919.73751721531,91918.39505189484
2020-06-03 22:36:20,187995.28516657234,89985.98031806205,103002.7406135053,187995.28516657234,89985.98031806205,103002.7406135053
2020-06-03 22:36:40,187995.28516657234,89985.98031806205,103002.7406135053,187995.28516657234,89985.98031806205,103002.7406135053
2020-06-03 22:37:00,187995.28516657234,108350.50940135668,103338.69446218797,187995.28516657234,108350.50940135668,103338.69446218797
2020-06-03 22:37:20,180096.9591277101,91248.20289661197,103338.69446218797,180096.9591277101,91248.20289661197,103338.69446218797
2020-06-03 22:37:40,180096.9591277101,91248.20289661197,103338.69446218797,180096.9591277101,91248.20289661197,103338.69446218797
2020-06-03 22:38:00,180096.9591277101,95901.88120886593,155459.97494645815,180096.9591277101,95901.88120886593,155459.97494645815
