"Time","tcss600threads-854bc8697c-jd8d4","tcss600posts-684d4857dc-tdkfz","tcss600users-5cc6c5d95d-svbrh","tcss600threads-854bc8697c-8nm64","tcss600users-5cc6c5d95d-s9nk5","tcss600posts-684d4857dc-nzgfb","tcss600posts-684d4857dc-kpd66","tcss600users-5cc6c5d95d-nk8rl","tcss600threads-854bc8697c-wnx4s","tcss600posts-684d4857dc-tdkfz","tcss600posts-684d4857dc-nzgfb","tcss600posts-684d4857dc-kpd66","tcss600threads-854bc8697c-jd8d4","tcss600threads-854bc8697c-8nm64","tcss600threads-854bc8697c-wnx4s","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl"
2020-06-03 23:40:20,236.9329917077536,43538.93269772601,726.3215358395296,51234.13654454202,252.06257256440028,70.30824225103098,56458.48267500113,346.14767051744684,60781.33341229521,43538.93269772601,70.30824225103098,56458.48267500113,236.9329917077536,51234.13654454202,60781.33341229521,726.3215358395296,252.06257256440028,346.14767051744684
2020-06-03 23:40:40,284.22036547983004,0,1380.5477650818484,51234.13654454202,252.06257256440028,70.30824225103098,56458.48267500113,346.14767051744684,60781.33341229521,0,70.30824225103098,56458.48267500113,284.22036547983004,51234.13654454202,60781.33341229521,1380.5477650818484,252.06257256440028,346.14767051744684
2020-06-03 23:41:00,284.22036547983004,0,1380.5477650818484,0,3024.5399276355192,61.93871979836731,210.14378123704023,333.31049133146024,49957.28759202119,0,61.93871979836731,210.14378123704023,284.22036547983004,0,49957.28759202119,1380.5477650818484,3024.5399276355192,333.31049133146024
2020-06-03 23:41:20,276.4734337559483,0,1156.8676238189703,0,3024.5399276355192,103.44217996312854,210.14378123704023,333.31049133146024,298.2532788500253,0,103.44217996312854,210.14378123704023,276.4734337559483,0,298.2532788500253,1156.8676238189703,3024.5399276355192,333.31049133146024
2020-06-03 23:41:40,47556.654091323006,409.4247662000663,1339.2807404925584,0,3024.5399276355192,103.44217996312854,210.14378123704023,333.31049133146024,298.2532788500253,409.4247662000663,103.44217996312854,210.14378123704023,47556.654091323006,0,298.2532788500253,1339.2807404925584,3024.5399276355192,333.31049133146024
2020-06-03 23:42:00,47556.654091323006,409.4247662000663,1339.2807404925584,0,83645.38552767124,568.7901406005902,239.14140980509998,272.6522352690577,50262.74860642764,409.4247662000663,568.7901406005902,239.14140980509998,47556.654091323006,0,50262.74860642764,1339.2807404925584,83645.38552767124,272.6522352690577
2020-06-03 23:42:20,48283.63939968835,413.81428467513155,811.1711316922715,0,83645.38552767124,707.4938033837411,294.7211593810314,272.6522352690577,50262.74860642764,413.81428467513155,707.4938033837411,294.7211593810314,48283.63939968835,0,50262.74860642764,811.1711316922715,83645.38552767124,272.6522352690577
2020-06-03 23:42:40,48283.63939968835,413.81428467513155,811.1711316922715,0,83645.38552767126,707.4938033837411,294.7211593810314,272.6522352690577,50262.74860642764,413.81428467513155,707.4938033837411,294.7211593810314,48283.63939968835,0,50262.74860642764,811.1711316922715,83645.38552767126,272.6522352690577
2020-06-03 23:43:00,48283.63939968835,413.81428467513155,811.1711316922715,0,65130.9856405216,48631.136292099465,301.5573301921111,270.74726509568035,44374.63514968,413.81428467513155,48631.136292099465,301.5573301921111,48283.63939968835,0,44374.63514968,811.1711316922715,65130.9856405216,270.74726509568035
2020-06-03 23:43:20,60459.289148440694,573.6180510430438,683.5598515393448,0,77209.57792142975,48631.136292099465,301.5573301921111,270.74726509568035,48109.90597758148,573.6180510430438,48631.136292099465,301.5573301921111,60459.289148440694,0,48109.90597758148,683.5598515393448,77209.57792142975,270.74726509568035
2020-06-03 23:43:40,44612.384232682736,423.19470675995683,778.5906971288982,0,77209.57792142975,48631.136292099465,301.5573301921112,270.74726509568035,48109.90597758148,423.19470675995683,48631.136292099465,301.5573301921112,44612.384232682736,0,48109.90597758148,778.5906971288982,77209.57792142975,270.74726509568035
2020-06-03 23:44:00,44612.384232682736,423.19470675995683,778.5906971288982,0,108169.1352286663,48956.518085955555,37687.70583641734,236.57448853721021,96959.02583235977,423.19470675995683,48956.518085955555,37687.70583641734,44612.384232682736,0,96959.02583235977,778.5906971288982,108169.1352286663,236.57448853721021
2020-06-03 23:44:20,95900.8436552334,415.84769578142004,231.67813933494347,50920.22314974393,80621.85154295246,48956.518085955555,47027.864618730455,236.57448853721021,96959.02583235977,415.84769578142004,48956.518085955555,47027.864618730455,95900.8436552334,50920.22314974393,96959.02583235977,231.67813933494347,80621.85154295246,236.57448853721021
2020-06-03 23:44:40,95900.8436552334,415.84769578142004,257.46324946780874,50920.22314974393,80621.85154295246,48956.518085955555,47027.864618730455,236.57448853721021,96959.02583235977,415.84769578142004,48956.518085955555,47027.864618730455,95900.8436552334,50920.22314974393,96959.02583235977,257.46324946780874,80621.85154295246,236.57448853721021
2020-06-03 23:45:00,95900.8436552334,415.84769578142004,257.46324946780874,54470.179117518564,80621.85154295246,59008.33003764478,37857.71242947513,757.7327216220216,96625.08146043945,415.84769578142004,59008.33003764478,37857.71242947513,95900.8436552334,54470.179117518564,96625.08146043945,257.46324946780874,80621.85154295246,757.7327216220216
2020-06-03 23:45:20,44148.9606066449,0,674.4468457342803,54470.179117518564,75000.05622896434,48503.55708835241,46532.519263969,757.7327216220216,96625.08146043945,0,48503.55708835241,46532.519263969,44148.9606066449,54470.179117518564,96625.08146043945,674.4468457342803,75000.05622896434,757.7327216220216
2020-06-03 23:45:40,49990.30717018655,0,786.2743257885353,54470.179117518564,75000.05622896434,48503.55708835241,46532.519263969,757.7327216220216,96625.08146043947,0,48503.55708835241,46532.519263969,49990.30717018655,54470.179117518564,96625.08146043947,786.2743257885353,75000.05622896434,757.7327216220216
2020-06-03 23:46:00,49990.30717018655,0,786.2743257885353,43385.39162024197,349.07702534558285,41055.599038210676,47841.70920746173,92038.69189124397,48491.6572189606,0,41055.599038210676,47841.70920746173,49990.30717018655,43385.39162024197,48491.6572189606,786.2743257885353,349.07702534558285,92038.69189124397
2020-06-03 23:46:20,44022.485129504326,0,834.4541226086111,54039.562420901166,349.07702534558285,49344.529742248145,47841.70920746173,92038.69189124397,48491.6572189606,0,49344.529742248145,47841.70920746173,44022.485129504326,54039.562420901166,48491.6572189606,834.4541226086111,349.07702534558285,92038.69189124397

